Label (Grouping),Total:,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races:,total_pop_x,total_white_x,total_black_x,total_asian_x,total_other_x,total_hispanic_x,white_pct,black_pct,asian_pct,other_pct,hispanic_pct,near_hblr_x,near_path_x,tract_num,total_pop_y,total_white_y,total_black_y,total_asian_y,total_hispanic_y,total_other_y,near_hblr_y,near_path_y,total_white_pct,total_black_pct,total_asian_pct,total_hispanic_pct,total_other_pct,median_house_2020,median_income_2020,median_rent_2020,census_tract_x,median_house_2010,census_tract_y,Households,median_income_2010,census_tract,median_rent_2010,train_access,white_pct_change,black_pct_change,asian_pct_change,hispanic_pct_change,other_pct_change
"Census Tract 23, Hudson County, New Jersey","2,133 (r46403)",620,992,137,0,331,0,7,46,2133.0,992.0,137.0,331.0,7.0,620.0,46.507266760431314,6.422878574777309,15.518049695264883,0.3281762775433661,29.06704172526957,False,False,23.0,2470.0,1278.0,104.0,538.0,383.0,14.0,False,False,51.740890688259114,4.2105263157894735,21.78137651821862,15.506072874493926,0.5668016194331984,738600.0,122434.0,1959.0,"Census Tract 23, Hudson County, New Jersey!!Estimate",440900.0,"Census Tract 23, Hudson County, New Jersey!!Median income (dollars)!!Estimate","72,313",72313.0,"Census Tract 23, Hudson County, New Jersey!!Total population!!Estimate",1280.0,near_neither,5.2336239278278,-2.2123522589878357,6.263326822953738,-13.560968850775643,0.2386253418898323
"Census Tract 24, Hudson County, New Jersey","2,309 (r46404)",335,"1,422",146,0,298,5,16,87,2309.0,1422.0,146.0,298.0,16.0,335.0,61.585101775660455,6.323083585967952,12.906019922044177,0.6929406669553919,14.50844521437852,False,False,24.0,2806.0,1718.0,90.0,448.0,359.0,17.0,False,False,61.22594440484676,3.2074126870990733,15.965787598004278,12.794012829650747,0.6058446186742694,871800.0,131406.0,2115.0,"Census Tract 24, Hudson County, New Jersey!!Estimate",597600.0,"Census Tract 24, Hudson County, New Jersey!!Median income (dollars)!!Estimate","89,849",89849.0,"Census Tract 24, Hudson County, New Jersey!!Total population!!Estimate",1625.0,near_neither,-0.3591573708136977,-3.1156708988688786,3.059767675960101,-1.7144323847277736,-0.0870960482811225
"Census Tract 27, Hudson County, New Jersey","4,815 (r46405)","1,578",697,"1,013",27,"1,283",5,95,117,4815.0,697.0,1013.0,1283.0,95.0,1578.0,14.475597092419523,21.03842159916926,26.64589823468328,1.9730010384215992,32.77258566978193,False,False,27.0,5952.0,1224.0,1146.0,1436.0,1721.0,158.0,False,False,20.56451612903226,19.254032258064516,24.126344086021508,28.914650537634408,2.6545698924731185,339600.0,57222.0,1326.0,"Census Tract 27, Hudson County, New Jersey!!Estimate",318900.0,"Census Tract 27, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,000",57000.0,"Census Tract 27, Hudson County, New Jersey!!Total population!!Estimate",1058.0,near_neither,6.088919036612737,-1.7843893411047453,-2.519554148661772,-3.8579351321475244,0.6815688540515192
"Census Tract 28, Hudson County, New Jersey","5,671 (r46406)","1,738","1,679",989,12,978,4,87,184,5671.0,1679.0,989.0,978.0,87.0,1738.0,29.606771292540994,17.439605007935107,17.245635690354437,1.534120966319873,30.647152177746428,False,False,28.0,5643.0,1730.0,814.0,1181.0,1594.0,87.0,False,False,30.65745171008329,14.42495126705653,20.928584086478825,28.24738614212298,1.541733120680489,378300.0,65397.0,1142.0,"Census Tract 28, Hudson County, New Jersey!!Estimate",291300.0,"Census Tract 28, Hudson County, New Jersey!!Median income (dollars)!!Estimate","29,310",29310.0,"Census Tract 28, Hudson County, New Jersey!!Total population!!Estimate",790.0,near_neither,1.0506804175422957,-3.014653740878577,3.682948396124388,-2.399766035623447,0.007612154360616019
"Census Tract 29, Hudson County, New Jersey","3,923 (r46407)",781,"1,125",571,2,"1,293",2,37,112,3923.0,1125.0,571.0,1293.0,37.0,781.0,28.677032882997704,14.555187356614836,32.959469793525365,0.9431557481519244,19.908233494774407,False,False,29.0,3990.0,1275.0,384.0,1434.0,708.0,41.0,False,False,31.954887218045116,9.624060150375941,35.93984962406015,17.74436090225564,1.0275689223057645,355500.0,55862.0,1207.0,"Census Tract 29, Hudson County, New Jersey!!Estimate",284000.0,"Census Tract 29, Hudson County, New Jersey!!Median income (dollars)!!Estimate","61,875",61875.0,"Census Tract 29, Hudson County, New Jersey!!Total population!!Estimate",1032.0,near_neither,3.2778543350474116,-4.9311272062388944,2.980379830534787,-2.163872592518768,0.08441317415384009
"Census Tract 30, Hudson County, New Jersey","3,165","1,182",574,677,4,638,1,24,65,3165.0,574.0,677.0,638.0,24.0,1182.0,18.13586097946288,21.390205371248022,20.15797788309637,0.7582938388625593,37.345971563981045,False,False,30.0,2974.0,856.0,428.0,536.0,990.0,35.0,False,False,28.782784129119033,14.391392064559517,18.022864828513786,33.28850033624748,1.1768661735036987,445000.0,40731.0,1041.0,"Census Tract 30, Hudson County, New Jersey!!Estimate",362300.0,"Census Tract 30, Hudson County, New Jersey!!Median income (dollars)!!Estimate","27,083",27083.0,"Census Tract 30, Hudson County, New Jersey!!Total population!!Estimate",822.0,near_neither,10.646923149656153,-6.998813306688506,-2.1351130545825825,-4.057471227733565,0.4185723346411394
"Census Tract 31, Hudson County, New Jersey","4,094","1,270",869,608,8,"1,181",0,15,143,4094.0,869.0,608.0,1181.0,15.0,1270.0,21.22618466047875,14.851001465559357,28.847093307278943,0.3663898387884709,31.021006350757208,False,False,31.0,6211.0,1602.0,652.0,2452.0,1222.0,84.0,False,False,25.792947995491872,10.497504427628401,39.47834487200129,19.67477056834648,1.3524392207374014,378651.3413124226,76722.51300041271,1578.1613702022287,"Census Tract 31, Hudson County, New Jersey!!Estimate",407700.0,"Census Tract 31, Hudson County, New Jersey!!Median income (dollars)!!Estimate","32,609",32609.0,"Census Tract 31, Hudson County, New Jersey!!Total population!!Estimate",789.0,near_neither,4.566763335013121,-4.353497037930955,10.631251564722344,-11.346235782410727,0.9860493819489304
"Census Tract 35, Hudson County, New Jersey","1,937 (r46408)",672,848,209,2,161,2,6,37,1937.0,848.0,209.0,161.0,6.0,672.0,43.77903975219412,10.789881259679918,8.311822405782138,0.3097573567372225,34.69282395456892,False,True,35.0,2257.0,970.0,127.0,312.0,709.0,22.0,False,True,42.977403633141336,5.62693841382366,13.82365972529907,31.41338059370846,0.9747452370403189,619500.0,98173.0,1730.0,"Census Tract 35, Hudson County, New Jersey!!Estimate",675000.0,"Census Tract 35, Hudson County, New Jersey!!Median income (dollars)!!Estimate","77,632",77632.0,"Census Tract 35, Hudson County, New Jersey!!Total population!!Estimate",1422.0,path_only,-0.8016361190527874,-5.162942845856258,5.511837319516932,-3.279443360860462,0.6649878803030964
"Census Tract 40, Hudson County, New Jersey","5,286 (r46409)","1,217",700,"1,095",21,"1,992",11,130,120,5286.0,700.0,1095.0,1992.0,130.0,1217.0,13.242527430949677,20.715096481271285,37.6844494892168,2.4593265228906547,23.023079833522512,False,False,40.0,5642.0,672.0,1086.0,2077.0,1487.0,144.0,False,False,11.910669975186105,19.248493442041827,36.81318681318682,26.35590216235377,2.552286423254165,332500.0,70167.0,1429.0,"Census Tract 40, Hudson County, New Jersey!!Estimate",336500.0,"Census Tract 40, Hudson County, New Jersey!!Median income (dollars)!!Estimate","57,066",57066.0,"Census Tract 40, Hudson County, New Jersey!!Total population!!Estimate",1022.0,near_neither,-1.331857455763572,-1.466603039229458,-0.8712626760299855,3.3328223288312593,0.09295990036351043
"Census Tract 41.01, Hudson County, New Jersey","6,576","2,147","1,302","2,052",6,836,6,50,177,6576.0,1302.0,2052.0,836.0,50.0,2147.0,19.7992700729927,31.204379562043798,12.712895377128955,0.7603406326034063,32.64902676399027,False,False,41.01,6878.0,1840.0,1703.0,888.0,2075.0,112.0,False,False,26.751962779877868,24.760104681593486,12.910729863332365,30.16865367839488,1.628380343123001,381869.2942254812,74990.16681943172,1102.314390467461,"Census Tract 41.01, Hudson County, New Jersey!!Estimate",277500.0,"Census Tract 41.01, Hudson County, New Jersey!!Median income (dollars)!!Estimate","34,839",34839.0,"Census Tract 41.01, Hudson County, New Jersey!!Total population!!Estimate",882.0,near_neither,6.952692706885166,-6.444274880450312,0.19783448620341026,-2.4803730855953923,0.8680397105195947
"Census Tract 41.02, Hudson County, New Jersey","2,874",909,195,"1,509",3,195,0,18,45,2874.0,195.0,1509.0,195.0,18.0,909.0,6.784968684759916,52.505219206680586,6.784968684759916,0.6263048016701461,31.62839248434238,False,False,41.02,3091.0,461.0,1076.0,318.0,1080.0,29.0,False,False,14.914267227434488,34.81074086056292,10.287932707861533,34.94014881915238,0.9382076997735361,687500.0,72344.0,1211.0,"Census Tract 41.02, Hudson County, New Jersey!!Estimate",357000.0,"Census Tract 41.02, Hudson County, New Jersey!!Median income (dollars)!!Estimate","43,720",43720.0,"Census Tract 41.02, Hudson County, New Jersey!!Total population!!Estimate",1044.0,near_neither,8.129298542674572,-17.694478346117663,3.502964023101616,3.3117563348099956,0.31190289810339
