census_tract,Median value (dollars),tract_num,median_house_2010
"Census Tract 111, Hudson County, New Jersey!!Estimate","372,900",111.0,372900.0
"Census Tract 112, Hudson County, New Jersey!!Estimate","412,600",112.0,412600.0
"Census Tract 113, Hudson County, New Jersey!!Estimate","297,800",113.0,297800.0
"Census Tract 114, Hudson County, New Jersey!!Estimate","340,500",114.0,340500.0
"Census Tract 115, Hudson County, New Jersey!!Estimate","391,200",115.0,391200.0
"Census Tract 116, Hudson County, New Jersey!!Estimate","349,400",116.0,349400.0
"Census Tract 123, Hudson County, New Jersey!!Estimate","368,200",123.0,368200.0
"Census Tract 124, Hudson County, New Jersey!!Estimate","444,300",124.0,444300.0
"Census Tract 125, Hudson County, New Jersey!!Estimate","392,100",125.0,392100.0
"Census Tract 126, Hudson County, New Jersey!!Estimate","324,100",126.0,324100.0
"Census Tract 127, Hudson County, New Jersey!!Estimate","331,700",127.0,331700.0
"Census Tract 128, Hudson County, New Jersey!!Estimate","335,500",128.0,335500.0
"Census Tract 129, Hudson County, New Jersey!!Estimate","344,200",129.0,344200.0
"Census Tract 130, Hudson County, New Jersey!!Estimate","387,000",130.0,387000.0
"Census Tract 131, Hudson County, New Jersey!!Estimate","373,800",131.0,373800.0
"Census Tract 132, Hudson County, New Jersey!!Estimate","339,700",132.0,339700.0
"Census Tract 133, Hudson County, New Jersey!!Estimate","421,000",133.0,421000.0
"Census Tract 134, Hudson County, New Jersey!!Estimate","364,200",134.0,364200.0
"Census Tract 135, Hudson County, New Jersey!!Estimate","356,300",135.0,356300.0
"Census Tract 136, Hudson County, New Jersey!!Estimate","422,200",136.0,422200.0
"Census Tract 137, Hudson County, New Jersey!!Estimate","354,000",137.0,354000.0
"Census Tract 138, Hudson County, New Jersey!!Estimate","270,800",138.0,270800.0
"Census Tract 139, Hudson County, New Jersey!!Estimate","283,300",139.0,283300.0
"Census Tract 140, Hudson County, New Jersey!!Estimate","399,100",140.0,399100.0
"Census Tract 141.01, Hudson County, New Jersey!!Estimate","239,300",141.01,239300.0
"Census Tract 141.02, Hudson County, New Jersey!!Estimate","300,700",141.02,300700.0
"Census Tract 142, Hudson County, New Jersey!!Estimate","412,200",142.0,412200.0
"Census Tract 143, Hudson County, New Jersey!!Estimate","457,600",143.0,457600.0
"Census Tract 144, Hudson County, New Jersey!!Estimate","369,100",144.0,369100.0
"Census Tract 145.01, Hudson County, New Jersey!!Estimate","389,800",145.01,389800.0
"Census Tract 145.02, Hudson County, New Jersey!!Estimate","435,600",145.02,435600.0
"Census Tract 146, Hudson County, New Jersey!!Estimate","391,300",146.0,391300.0
"Census Tract 147, Hudson County, New Jersey!!Estimate","350,900",147.0,350900.0
"Census Tract 148, Hudson County, New Jersey!!Estimate","371,000",148.0,371000.0
"Census Tract 149, Hudson County, New Jersey!!Estimate","394,200",149.0,394200.0
"Census Tract 150.01, Hudson County, New Jersey!!Estimate","453,000",150.01,453000.0
"Census Tract 150.02, Hudson County, New Jersey!!Estimate","306,400",150.02,306400.0
"Census Tract 151, Hudson County, New Jersey!!Estimate","347,000",151.0,347000.0
"Census Tract 152.01, Hudson County, New Jersey!!Estimate","334,800",152.01,334800.0
"Census Tract 152.02, Hudson County, New Jersey!!Estimate","283,300",152.02,283300.0
"Census Tract 153, Hudson County, New Jersey!!Estimate","407,600",153.0,407600.0
"Census Tract 155, Hudson County, New Jersey!!Estimate","448,300",155.0,448300.0
"Census Tract 156, Hudson County, New Jersey!!Estimate","280,300",156.0,280300.0
"Census Tract 157, Hudson County, New Jersey!!Estimate","552,500",157.0,552500.0
"Census Tract 158.01, Hudson County, New Jersey!!Estimate","594,200",158.01,594200.0
"Census Tract 158.02, Hudson County, New Jersey!!Estimate","527,400",158.02,527400.0
"Census Tract 159, Hudson County, New Jersey!!Estimate","401,900",159.0,401900.0
"Census Tract 160, Hudson County, New Jersey!!Estimate","443,200",160.0,443200.0
"Census Tract 161, Hudson County, New Jersey!!Estimate","385,400",161.0,385400.0
"Census Tract 162, Hudson County, New Jersey!!Estimate","528,200",162.0,528200.0
"Census Tract 163, Hudson County, New Jersey!!Estimate","404,100",163.0,404100.0
"Census Tract 164, Hudson County, New Jersey!!Estimate","386,700",164.0,386700.0
"Census Tract 165, Hudson County, New Jersey!!Estimate","380,000",165.0,380000.0
"Census Tract 166, Hudson County, New Jersey!!Estimate","425,400",166.0,425400.0
"Census Tract 167, Hudson County, New Jersey!!Estimate","376,500",167.0,376500.0
"Census Tract 168, Hudson County, New Jersey!!Estimate","416,400",168.0,416400.0
"Census Tract 169, Hudson County, New Jersey!!Estimate","450,000",169.0,450000.0
"Census Tract 170, Hudson County, New Jersey!!Estimate","225,000",170.0,225000.0
"Census Tract 171, Hudson County, New Jersey!!Estimate","325,500",171.0,325500.0
"Census Tract 172, Hudson County, New Jersey!!Estimate","388,500",172.0,388500.0
"Census Tract 173, Hudson County, New Jersey!!Estimate","354,100",173.0,354100.0
"Census Tract 174, Hudson County, New Jersey!!Estimate","470,800",174.0,470800.0
"Census Tract 175, Hudson County, New Jersey!!Estimate","356,000",175.0,356000.0
"Census Tract 176, Hudson County, New Jersey!!Estimate","452,500",176.0,452500.0
"Census Tract 177, Hudson County, New Jersey!!Estimate","413,400",177.0,413400.0
"Census Tract 178, Hudson County, New Jersey!!Estimate","276,900",178.0,276900.0
"Census Tract 179, Hudson County, New Jersey!!Estimate","697,500",179.0,697500.0
"Census Tract 180, Hudson County, New Jersey!!Estimate","462,900",180.0,462900.0
"Census Tract 181, Hudson County, New Jersey!!Estimate","553,900",181.0,553900.0
"Census Tract 182, Hudson County, New Jersey!!Estimate","540,800",182.0,540800.0
"Census Tract 183.01, Hudson County, New Jersey!!Estimate","1,000,000+",183.01,
"Census Tract 183.02, Hudson County, New Jersey!!Estimate","652,200",183.02,652200.0
"Census Tract 184, Hudson County, New Jersey!!Estimate","665,700",184.0,665700.0
"Census Tract 185, Hudson County, New Jersey!!Estimate","486,700",185.0,486700.0
"Census Tract 186, Hudson County, New Jersey!!Estimate","498,400",186.0,498400.0
"Census Tract 187.01, Hudson County, New Jersey!!Estimate","833,800",187.01,833800.0
"Census Tract 187.02, Hudson County, New Jersey!!Estimate","661,200",187.02,661200.0
"Census Tract 188, Hudson County, New Jersey!!Estimate","541,700",188.0,541700.0
"Census Tract 189, Hudson County, New Jersey!!Estimate","532,400",189.0,532400.0
"Census Tract 190, Hudson County, New Jersey!!Estimate","376,300",190.0,376300.0
"Census Tract 191, Hudson County, New Jersey!!Estimate","395,100",191.0,395100.0
"Census Tract 192, Hudson County, New Jersey!!Estimate","580,300",192.0,580300.0
"Census Tract 193, Hudson County, New Jersey!!Estimate","464,800",193.0,464800.0
"Census Tract 194, Hudson County, New Jersey!!Estimate","565,100",194.0,565100.0
"Census Tract 198, Hudson County, New Jersey!!Estimate","508,200",198.0,508200.0
"Census Tract 199, Hudson County, New Jersey!!Estimate","387,200",199.0,387200.0
"Census Tract 200, Hudson County, New Jersey!!Estimate","483,200",200.0,483200.0
"Census Tract 201, Hudson County, New Jersey!!Estimate","392,700",201.0,392700.0
"Census Tract 324, Hudson County, New Jersey!!Estimate","414,000",324.0,414000.0
"Census Tract 9801, Hudson County, New Jersey!!Estimate",-,9801.0,
