0,Geography,census_tract,household_num,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households,median_income_2020
166,1400000US34017018501,"Census Tract 185.01, Hudson County, New Jersey",2285,183750,183750.0
167,1400000US34017018502,"Census Tract 185.02, Hudson County, New Jersey",864,91250,91250.0
168,1400000US34017018600,"Census Tract 186, Hudson County, New Jersey",1094,144196,144196.0
169,1400000US34017018701,"Census Tract 187.01, Hudson County, New Jersey",679,126475,126475.0
170,1400000US34017018702,"Census Tract 187.02, Hudson County, New Jersey",2056,98716,98716.0
171,1400000US34017018800,"Census Tract 188, Hudson County, New Jersey",1504,156176,156176.0
172,1400000US34017018900,"Census Tract 189, Hudson County, New Jersey",1771,121208,121208.0
173,1400000US34017019000,"Census Tract 190, Hudson County, New Jersey",1984,78108,78108.0
174,1400000US34017019100,"Census Tract 191, Hudson County, New Jersey",1688,133372,133372.0
175,1400000US34017019200,"Census Tract 192, Hudson County, New Jersey",1914,201798,201798.0
176,1400000US34017019300,"Census Tract 193, Hudson County, New Jersey",1513,153792,153792.0
177,1400000US34017019400,"Census Tract 194, Hudson County, New Jersey",1409,85815,85815.0
178,1400000US34017019800,"Census Tract 198, Hudson County, New Jersey",2399,139102,139102.0
179,1400000US34017019900,"Census Tract 199, Hudson County, New Jersey",2385,100847,100847.0
180,1400000US34017020000,"Census Tract 200, Hudson County, New Jersey",1659,120582,120582.0
181,1400000US34017020100,"Census Tract 201, Hudson County, New Jersey",1229,162644,162644.0
182,1400000US34017032400,"Census Tract 324, Hudson County, New Jersey",2180,58333,58333.0
183,1400000US34017980100,"Census Tract 9801, Hudson County, New Jersey",0,-,
