census_tract,Median value (dollars),tract_num,median_house_2020
"Census Tract 147, Hudson County, New Jersey!!Estimate","346,300",147.0,346300.0
"Census Tract 148.01, Hudson County, New Jersey!!Estimate","345,500",148.01,345500.0
"Census Tract 148.02, Hudson County, New Jersey!!Estimate","369,200",148.02,369200.0
"Census Tract 149, Hudson County, New Jersey!!Estimate","344,700",149.0,344700.0
"Census Tract 150.01, Hudson County, New Jersey!!Estimate","309,500",150.01,309500.0
"Census Tract 150.03, Hudson County, New Jersey!!Estimate","384,800",150.03,384800.0
"Census Tract 150.04, Hudson County, New Jersey!!Estimate","291,800",150.04,291800.0
"Census Tract 151, Hudson County, New Jersey!!Estimate","296,300",151.0,296300.0
"Census Tract 152.01, Hudson County, New Jersey!!Estimate","302,300",152.01,302300.0
"Census Tract 152.02, Hudson County, New Jersey!!Estimate","348,600",152.02,348600.0
"Census Tract 153, Hudson County, New Jersey!!Estimate","245,200",153.0,245200.0
"Census Tract 155, Hudson County, New Jersey!!Estimate","286,600",155.0,286600.0
"Census Tract 156, Hudson County, New Jersey!!Estimate","312,700",156.0,312700.0
"Census Tract 157, Hudson County, New Jersey!!Estimate","210,700",157.0,210700.0
"Census Tract 158.01, Hudson County, New Jersey!!Estimate","554,900",158.01,554900.0
"Census Tract 158.02, Hudson County, New Jersey!!Estimate","475,400",158.02,475400.0
"Census Tract 159, Hudson County, New Jersey!!Estimate","319,200",159.0,319200.0
"Census Tract 160, Hudson County, New Jersey!!Estimate","253,700",160.0,253700.0
"Census Tract 161, Hudson County, New Jersey!!Estimate","381,300",161.0,381300.0
"Census Tract 162, Hudson County, New Jersey!!Estimate","359,100",162.0,359100.0
"Census Tract 163, Hudson County, New Jersey!!Estimate","328,800",163.0,328800.0
"Census Tract 164, Hudson County, New Jersey!!Estimate","351,600",164.0,351600.0
"Census Tract 165, Hudson County, New Jersey!!Estimate","434,600",165.0,434600.0
"Census Tract 166, Hudson County, New Jersey!!Estimate","342,300",166.0,342300.0
"Census Tract 167, Hudson County, New Jersey!!Estimate","349,400",167.0,349400.0
"Census Tract 168, Hudson County, New Jersey!!Estimate","357,900",168.0,357900.0
"Census Tract 169, Hudson County, New Jersey!!Estimate","356,800",169.0,356800.0
"Census Tract 170, Hudson County, New Jersey!!Estimate","382,300",170.0,382300.0
"Census Tract 171, Hudson County, New Jersey!!Estimate","356,100",171.0,356100.0
"Census Tract 172, Hudson County, New Jersey!!Estimate","538,000",172.0,538000.0
"Census Tract 173, Hudson County, New Jersey!!Estimate","279,500",173.0,279500.0
"Census Tract 174, Hudson County, New Jersey!!Estimate","301,500",174.0,301500.0
"Census Tract 175, Hudson County, New Jersey!!Estimate","377,100",175.0,377100.0
"Census Tract 176, Hudson County, New Jersey!!Estimate","350,600",176.0,350600.0
"Census Tract 177, Hudson County, New Jersey!!Estimate","341,500",177.0,341500.0
"Census Tract 178, Hudson County, New Jersey!!Estimate","373,300",178.0,373300.0
"Census Tract 179, Hudson County, New Jersey!!Estimate","890,200",179.0,890200.0
"Census Tract 180, Hudson County, New Jersey!!Estimate","401,300",180.0,401300.0
"Census Tract 181, Hudson County, New Jersey!!Estimate","676,000",181.0,676000.0
"Census Tract 182, Hudson County, New Jersey!!Estimate","710,000",182.0,710000.0
"Census Tract 183.01, Hudson County, New Jersey!!Estimate","1,059,800",183.01,1059800.0
"Census Tract 183.02, Hudson County, New Jersey!!Estimate","945,400",183.02,945400.0
"Census Tract 184.01, Hudson County, New Jersey!!Estimate","660,200",184.01,660200.0
"Census Tract 184.02, Hudson County, New Jersey!!Estimate","767,400",184.02,767400.0
"Census Tract 185.01, Hudson County, New Jersey!!Estimate","711,300",185.01,711300.0
"Census Tract 185.02, Hudson County, New Jersey!!Estimate","472,700",185.02,472700.0
"Census Tract 186, Hudson County, New Jersey!!Estimate","668,100",186.0,668100.0
"Census Tract 187.01, Hudson County, New Jersey!!Estimate","887,200",187.01,887200.0
"Census Tract 187.02, Hudson County, New Jersey!!Estimate","613,800",187.02,613800.0
"Census Tract 188, Hudson County, New Jersey!!Estimate","850,100",188.0,850100.0
"Census Tract 189, Hudson County, New Jersey!!Estimate","680,500",189.0,680500.0
"Census Tract 190, Hudson County, New Jersey!!Estimate","603,700",190.0,603700.0
"Census Tract 191, Hudson County, New Jersey!!Estimate","662,500",191.0,662500.0
"Census Tract 192, Hudson County, New Jersey!!Estimate","773,700",192.0,773700.0
"Census Tract 193, Hudson County, New Jersey!!Estimate","758,300",193.0,758300.0
"Census Tract 194, Hudson County, New Jersey!!Estimate","886,100",194.0,886100.0
"Census Tract 198, Hudson County, New Jersey!!Estimate","559,100",198.0,559100.0
"Census Tract 199, Hudson County, New Jersey!!Estimate","414,000",199.0,414000.0
"Census Tract 200, Hudson County, New Jersey!!Estimate","460,700",200.0,460700.0
"Census Tract 201, Hudson County, New Jersey!!Estimate",-,201.0,
"Census Tract 324, Hudson County, New Jersey!!Estimate","359,500",324.0,359500.0
"Census Tract 9801, Hudson County, New Jersey!!Estimate",-,9801.0,
