census_tract,total_pop,under_5,5_to_9,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Selected Age Categories,16 years and over,18 years and over,21 years and over,62 years and over,65 years and over,Male population,Under 5 years,5 to 9 years,10 to 14 years_1,15 to 19 years_1,20 to 24 years_1,25 to 29 years_1,30 to 34 years_1,35 to 39 years_1,40 to 44 years_1,45 to 49 years_1,50 to 54 years_1,55 to 59 years_1,60 to 64 years_1,65 to 69 years_1,70 to 74 years_1,75 to 79 years_1,80 to 84 years_1,85 years and over_1,Selected Age Categories_1,16 years and over_1,18 years and over_1,21 years and over_1,62 years and over_1,65 years and over_1,Female population,Under 5 years_1,5 to 9 years_1,10 to 14 years_2,15 to 19 years_2,20 to 24 years_2,25 to 29 years_2,30 to 34 years_2,35 to 39 years_2,40 to 44 years_2,45 to 49 years_2,50 to 54 years_2,55 to 59 years_2,60 to 64 years_2,65 to 69 years_2,70 to 74 years_2,75 to 79 years_2,80 to 84 years_2,85 years and over_2,Selected Age Categories_2,16 years and over_2,18 years and over_2,21 years and over_2,62 years and over_2,65 years and over_2,MEDIAN AGE BY SEX,Both sexes,Male,Female,RACE,Total population,One Race,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or More Races,TOTAL RACES TALLIED [1],Total races tallied,White alone or in combination with one or more other races,Black or African American alone or in combination with one or more other races,American Indian and Alaska Native alone or in combination with one or more other races,Asian alone or in combination with one or more other races,Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races,Some Other Race alone or in combination with one or more other races,HISPANIC OR LATINO,Total population_1,Hispanic or Latino (of any race),Not Hispanic or Latino,HISPANIC OR LATINO BY RACE,Total population_2,Hispanic or Latino,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races_1,Not Hispanic or Latino_1,White alone_1,Black or African American alone_1,American Indian and Alaska Native alone_1,Asian alone_1,Native Hawaiian and Other Pacific Islander alone_1,Some Other Race alone_1,Two or More Races_2,RELATIONSHIP,Total population_3,In households,Householder,Opposite-sex spouse,Same-sex spouse,Opposite-sex unmarried partner,Same-sex unmarried partner,Child [2],Under 18 years,Grandchild,Under 18 years_1,Other relatives,Nonrelatives,In group quarters,Institutionalized population:,Male_1,Female_1,Noninstitutionalized population:,Male_2,Female_2,HOUSEHOLDS BY TYPE,Total households,Married couple household,With own children under 18 [3],Cohabiting couple household,With own children under 18 [3]_1,"Male householder, no spouse or partner present:",Living alone,65 years and over_3,With own children under 18 [3]_2,"Female householder, no spouse or partner present:",Living alone_1,65 years and over_4,With own children under 18 [3]_3,Households with individuals under 18 years,Households with individuals 65 years and over,HOUSING OCCUPANCY,Total housing units,Occupied housing units,Vacant housing units,For rent,"Rented, not occupied",For sale only,"Sold, not occupied","For seasonal, recreational, or occasional use",All other vacants,VACANCY RATES,Homeowner vacancy rate (percent) [4],Rental vacancy rate (percent) [5],HOUSING TENURE,Occupied housing units_1,Owner-occupied housing units,Renter-occupied housing units,near_hblr,white_pct,black_pct,asian_pct,amerindian_pct,other_pct,hispanic_pct,near_path
Census Tract 58.01; Hudson County; New Jersey!!Percent,100.00%,7.50%,8.30%,7.40%,7.10%,7.10%,8.10%,8.30%,6.70%,4.60%,6.60%,6.50%,5.30%,4.00%,3.70%,3.20%,2.60%,2.30%,0.80%,,75.40%,72.60%,68.50%,14.70%,12.50%,100.00%,8.30%,9.90%,8.00%,8.20%,7.70%,7.60%,9.20%,6.40%,4.00%,6.90%,6.50%,4.80%,3.30%,3.00%,2.20%,1.80%,1.90%,0.50%,,72.30%,69.00%,64.20%,11.30%,9.40%,100.00%,6.90%,7.00%,6.90%,6.10%,6.60%,8.60%,7.50%,6.90%,5.10%,6.30%,6.60%,5.70%,4.50%,4.30%,4.00%,3.20%,2.60%,1.10%,,78.00%,75.80%,72.10%,17.70%,15.20%,,(X),(X),(X),,100.00%,93.00%,6.80%,64.30%,0.90%,2.60%,0.00%,18.40%,7.00%,,107.60%,10.80%,68.40%,1.90%,3.10%,0.40%,23.00%,,100.00%,27.60%,72.40%,,100.00%,27.60%,2.90%,2.90%,0.40%,0.00%,0.00%,17.00%,4.40%,72.40%,3.90%,61.50%,0.50%,2.60%,0.00%,1.40%,2.60%,,100.00%,99.90%,36.10%,8.00%,0.20%,2.90%,0.10%,36.10%,23.00%,4.20%,2.90%,8.80%,3.60%,0.10%,0.00%,0.00%,0.00%,0.10%,0.00%,0.10%,,100.00%,22.70%,10.50%,7.90%,3.40%,20.60%,11.50%,2.70%,2.60%,48.80%,17.90%,9.10%,15.60%,37.40%,28.00%,,100.00%,92.10%,7.90%,4.00%,0.40%,0.60%,0.10%,0.10%,2.80%,,(X),(X),,100.00%,23.60%,76.40%,True,3.9,61.5,2.6,0.5,1.4,27.6,False
Census Tract 58.02; Hudson County; New Jersey!!Percent,100.00%,8.00%,6.20%,4.80%,2.50%,2.80%,5.20%,9.30%,12.10%,10.50%,9.00%,7.70%,7.00%,4.70%,4.80%,3.00%,1.60%,0.50%,0.30%,,80.20%,79.10%,77.90%,12.90%,10.20%,100.00%,8.80%,6.50%,5.60%,2.80%,2.50%,5.20%,8.60%,11.60%,10.90%,9.80%,6.70%,7.60%,4.50%,3.50%,2.90%,2.30%,0.00%,0.10%,,78.10%,76.80%,75.50%,11.50%,8.80%,100.00%,7.10%,6.00%,4.10%,2.20%,3.00%,5.10%,9.90%,12.60%,10.20%,8.20%,8.80%,6.40%,4.90%,6.00%,3.20%,0.90%,1.10%,0.50%,,82.10%,81.40%,80.20%,14.20%,11.60%,,(X),(X),(X),,100.00%,87.30%,51.70%,4.70%,0.20%,26.90%,0.00%,3.90%,12.70%,,114.00%,63.20%,7.30%,1.20%,31.20%,0.10%,11.10%,,100.00%,9.20%,90.80%,,100.00%,9.20%,1.50%,0.00%,0.00%,0.20%,0.00%,1.70%,5.80%,90.80%,50.20%,4.70%,0.20%,26.70%,0.00%,2.10%,6.90%,,100.00%,99.60%,45.00%,21.60%,0.40%,2.70%,0.40%,24.80%,20.00%,0.50%,0.40%,3.00%,1.20%,0.40%,0.00%,0.00%,0.00%,0.40%,0.10%,0.20%,,100.00%,47.60%,23.10%,8.00%,1.70%,18.30%,14.10%,1.70%,1.60%,26.10%,17.30%,5.00%,3.00%,31.20%,19.20%,,100.00%,94.00%,6.00%,3.10%,0.10%,1.40%,0.20%,0.70%,0.50%,,(X),(X),,100.00%,68.80%,31.20%,False,50.2,4.7,26.7,0.2,2.1,9.2,False
Census Tract 59.01; Hudson County; New Jersey!!Percent,100.00%,5.10%,4.80%,6.30%,6.50%,7.60%,7.30%,6.60%,5.90%,6.00%,7.00%,6.70%,6.90%,6.60%,5.70%,4.80%,3.20%,1.50%,1.50%,,82.90%,80.30%,76.20%,20.00%,16.70%,100.00%,5.60%,4.60%,6.60%,7.30%,7.40%,8.40%,7.90%,6.10%,5.30%,7.80%,6.70%,7.10%,6.30%,4.80%,4.00%,2.40%,0.90%,0.90%,,82.30%,78.80%,74.90%,16.40%,13.00%,100.00%,4.60%,5.00%,6.10%,5.80%,7.80%,6.40%,5.40%,5.60%,6.60%,6.30%,6.70%,6.70%,6.90%,6.50%,5.60%,3.80%,2.00%,2.00%,,83.40%,81.60%,77.30%,23.20%,20.00%,,(X),(X),(X),,100.00%,92.10%,16.30%,15.50%,0.90%,43.10%,0.10%,16.20%,7.90%,,108.60%,21.70%,18.50%,1.60%,44.40%,0.30%,22.10%,,100.00%,23.50%,76.50%,,100.00%,23.50%,2.20%,1.70%,0.60%,0.30%,0.00%,13.30%,5.40%,76.50%,14.10%,13.90%,0.40%,42.80%,0.10%,2.80%,2.50%,,100.00%,98.40%,34.00%,14.50%,0.20%,1.20%,0.10%,32.70%,16.70%,3.10%,2.20%,9.90%,2.80%,1.60%,0.00%,0.00%,0.00%,1.60%,0.10%,1.50%,,100.00%,44.00%,18.00%,3.70%,1.30%,19.40%,9.40%,2.70%,2.70%,32.90%,13.00%,5.60%,7.30%,33.60%,29.90%,,100.00%,94.60%,5.40%,1.80%,0.10%,0.30%,0.00%,0.30%,2.80%,,(X),(X),,100.00%,50.10%,49.90%,False,14.1,13.9,42.8,0.4,2.8,23.5,False
Census Tract 59.02; Hudson County; New Jersey!!Percent,100.00%,5.10%,4.60%,5.40%,6.40%,7.40%,8.20%,7.40%,6.00%,6.00%,5.80%,6.90%,7.60%,6.80%,5.70%,5.00%,2.10%,1.80%,1.80%,,84.00%,81.30%,77.10%,20.40%,16.40%,100.00%,5.30%,5.20%,6.00%,7.40%,7.80%,8.50%,7.00%,6.40%,5.60%,6.00%,6.70%,7.50%,6.20%,6.00%,4.60%,1.40%,1.20%,1.20%,,82.60%,79.50%,74.80%,18.60%,14.60%,100.00%,5.00%,4.20%,4.80%,5.60%,7.10%,8.00%,7.70%,5.60%,6.30%,5.80%,7.10%,7.60%,7.30%,5.40%,5.40%,2.70%,2.30%,2.30%,,85.30%,82.90%,79.20%,22.00%,18.10%,,(X),(X),(X),,100.00%,90.30%,15.90%,25.00%,0.30%,32.50%,0.10%,16.40%,9.70%,,110.80%,21.60%,29.60%,1.70%,33.60%,0.70%,23.60%,,100.00%,24.90%,75.10%,,100.00%,24.90%,3.10%,1.10%,0.30%,0.60%,0.00%,13.60%,6.20%,75.10%,12.80%,23.90%,0.00%,31.90%,0.10%,2.90%,3.50%,,100.00%,97.50%,35.00%,12.50%,0.40%,1.80%,0.20%,30.10%,16.20%,2.10%,1.50%,11.50%,3.80%,2.50%,2.50%,1.40%,1.10%,0.00%,0.00%,0.00%,,100.00%,37.00%,12.80%,6.00%,2.40%,20.40%,10.30%,2.70%,3.10%,36.70%,13.30%,6.80%,9.20%,32.50%,31.50%,,100.00%,95.30%,4.70%,1.90%,0.20%,0.00%,0.10%,0.00%,2.60%,,(X),(X),,100.00%,37.80%,62.20%,False,12.8,23.9,31.9,0.0,2.9,24.9,False
Census Tract 60; Hudson County; New Jersey!!Percent,100.00%,6.60%,6.40%,7.40%,6.80%,7.50%,7.90%,8.40%,6.20%,5.80%,6.10%,6.70%,7.40%,5.00%,4.00%,3.20%,2.10%,1.60%,1.10%,,78.10%,75.80%,71.60%,14.30%,11.90%,100.00%,8.20%,7.20%,8.80%,6.60%,8.70%,7.30%,9.00%,5.90%,5.70%,5.90%,6.10%,6.60%,5.00%,3.40%,2.10%,1.80%,1.10%,0.60%,,74.80%,72.10%,67.70%,11.70%,9.00%,100.00%,5.10%,5.70%,6.20%,6.90%,6.30%,8.40%,7.90%,6.50%,5.90%,6.20%,7.20%,8.10%,5.00%,4.60%,4.20%,2.30%,2.00%,1.60%,,81.10%,79.20%,75.00%,16.70%,14.60%,,(X),(X),(X),,100.00%,90.00%,8.50%,57.20%,0.30%,4.50%,0.00%,19.50%,10.00%,,110.60%,14.10%,62.30%,1.70%,5.50%,0.30%,26.60%,,100.00%,31.90%,68.10%,,100.00%,31.90%,4.30%,2.60%,0.20%,0.10%,0.00%,18.20%,6.50%,68.10%,4.10%,54.60%,0.20%,4.40%,0.00%,1.30%,3.50%,,100.00%,99.80%,36.60%,8.20%,0.10%,2.70%,0.20%,35.40%,19.90%,4.30%,3.10%,8.60%,3.60%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.10%,,100.00%,23.10%,9.40%,7.60%,3.80%,21.80%,12.40%,2.40%,2.80%,47.40%,14.60%,5.50%,14.20%,37.10%,24.50%,,100.00%,93.20%,6.80%,3.50%,0.50%,0.20%,0.30%,0.20%,2.20%,,(X),(X),,100.00%,28.30%,71.70%,True,4.1,54.6,4.4,0.2,1.3,31.9,False
Census Tract 61.01; Hudson County; New Jersey!!Percent,100.00%,5.90%,5.60%,6.10%,5.80%,6.10%,7.30%,7.10%,6.50%,6.00%,6.90%,7.40%,6.70%,6.80%,5.80%,4.50%,2.50%,1.30%,1.60%,,81.10%,78.80%,75.20%,20.20%,15.70%,100.00%,6.60%,5.90%,6.70%,6.40%,5.90%,7.60%,6.60%,6.80%,5.70%,7.30%,7.30%,6.80%,6.70%,5.10%,4.30%,2.30%,0.90%,1.40%,,79.30%,77.00%,73.00%,18.20%,13.90%,100.00%,5.20%,5.30%,5.60%,5.20%,6.30%,7.10%,7.60%,6.30%,6.40%,6.50%,7.50%,6.60%,6.90%,6.40%,4.80%,2.70%,1.70%,1.80%,,82.80%,80.50%,77.40%,22.00%,17.40%,,(X),(X),(X),,100.00%,92.20%,25.20%,15.30%,0.90%,37.30%,0.10%,13.40%,7.80%,,108.80%,30.80%,17.90%,1.90%,38.50%,0.30%,19.50%,,100.00%,23.00%,77.00%,,100.00%,23.00%,3.10%,1.60%,0.60%,0.40%,0.00%,11.90%,5.40%,77.00%,22.20%,13.70%,0.30%,36.90%,0.10%,1.50%,2.40%,,100.00%,99.90%,35.40%,15.70%,0.40%,1.70%,0.20%,32.80%,19.30%,1.80%,1.10%,9.50%,2.50%,0.10%,0.00%,0.00%,0.00%,0.10%,0.10%,0.00%,,100.00%,45.70%,18.90%,5.40%,2.40%,19.40%,10.80%,1.90%,2.20%,29.50%,10.70%,5.70%,7.00%,34.10%,30.60%,,100.00%,94.70%,5.30%,2.60%,0.00%,0.50%,0.10%,0.10%,2.00%,,(X),(X),,100.00%,47.70%,52.30%,False,22.2,13.7,36.9,0.3,1.5,23.0,False
Census Tract 61.02; Hudson County; New Jersey!!Percent,100.00%,6.60%,6.40%,7.90%,6.30%,7.80%,8.40%,6.70%,6.60%,5.70%,6.30%,6.90%,6.60%,6.40%,4.10%,3.90%,1.90%,0.70%,0.90%,,77.60%,75.20%,71.60%,14.70%,11.50%,100.00%,7.40%,6.80%,8.50%,6.20%,8.10%,8.30%,6.80%,7.30%,5.80%,5.80%,7.20%,6.50%,5.50%,3.50%,3.60%,1.40%,0.60%,0.60%,,75.90%,74.10%,69.50%,12.40%,9.80%,100.00%,5.90%,6.00%,7.40%,6.30%,7.50%,8.40%,6.60%,5.90%,5.70%,6.70%,6.60%,6.70%,7.10%,4.60%,4.20%,2.40%,0.80%,1.10%,,79.10%,76.20%,73.50%,16.70%,13.10%,,(X),(X),(X),,100.00%,89.70%,11.90%,46.30%,0.90%,10.00%,0.00%,20.70%,10.30%,,111.10%,18.10%,49.90%,2.10%,12.00%,0.40%,28.60%,,100.00%,30.70%,69.30%,,100.00%,30.70%,4.40%,2.10%,0.40%,0.10%,0.00%,16.90%,6.80%,69.30%,7.50%,44.20%,0.60%,9.80%,0.00%,3.80%,3.50%,,100.00%,98.80%,35.60%,9.30%,0.30%,1.80%,0.10%,34.90%,20.30%,3.90%,3.00%,9.30%,3.50%,1.20%,0.00%,0.00%,0.00%,1.20%,0.80%,0.40%,,100.00%,26.60%,9.70%,6.00%,2.30%,21.40%,10.90%,1.90%,1.80%,45.90%,15.00%,6.70%,12.80%,31.40%,25.10%,,100.00%,95.20%,4.80%,3.10%,0.20%,0.80%,0.00%,0.00%,0.60%,,(X),(X),,100.00%,23.70%,76.30%,False,7.5,44.2,9.8,0.6,3.8,30.7,False
Census Tract 62; Hudson County; New Jersey!!Percent,100.00%,6.10%,6.90%,6.40%,5.80%,6.70%,7.40%,6.90%,6.60%,5.50%,5.30%,6.20%,5.70%,6.60%,4.80%,4.50%,3.50%,2.20%,2.90%,,79.50%,77.60%,73.40%,22.10%,17.90%,100.00%,6.00%,8.80%,6.50%,6.60%,8.10%,7.70%,7.10%,7.30%,5.00%,4.50%,6.40%,5.10%,6.10%,4.30%,4.30%,3.00%,1.70%,1.40%,,77.70%,75.40%,70.40%,18.50%,14.70%,100.00%,6.20%,5.30%,6.20%,5.00%,5.40%,7.00%,6.80%,6.10%,6.00%,6.00%,6.00%,6.20%,7.10%,5.20%,4.70%,3.90%,2.70%,4.20%,,81.20%,79.60%,76.10%,25.30%,20.70%,,(X),(X),(X),,100.00%,87.00%,14.90%,37.70%,1.00%,10.70%,0.00%,22.70%,13.00%,,113.90%,23.00%,43.00%,2.60%,11.90%,0.50%,33.00%,,100.00%,35.40%,64.60%,,100.00%,35.40%,5.20%,1.90%,0.50%,0.20%,0.00%,18.90%,8.60%,64.60%,9.70%,35.80%,0.50%,10.50%,0.00%,3.80%,4.30%,,100.00%,96.80%,37.50%,10.10%,0.00%,1.80%,0.30%,32.10%,19.70%,2.20%,1.40%,9.90%,3.00%,3.20%,2.30%,0.50%,1.80%,1.00%,0.10%,0.80%,,100.00%,27.30%,8.50%,5.50%,3.00%,24.40%,14.00%,5.80%,3.40%,42.80%,19.60%,10.30%,12.20%,31.20%,32.20%,,100.00%,93.40%,6.60%,3.00%,0.30%,0.10%,0.50%,0.00%,2.70%,,(X),(X),,100.00%,25.30%,74.70%,True,9.7,35.8,10.5,0.5,3.8,35.4,False
Census Tract 63; Hudson County; New Jersey!!Percent,100.00%,6.10%,6.40%,6.10%,6.30%,7.70%,8.20%,6.90%,6.40%,5.50%,6.30%,6.60%,6.60%,5.60%,4.90%,4.00%,2.90%,1.80%,1.40%,,80.00%,77.60%,73.50%,18.30%,15.10%,100.00%,6.30%,6.80%,6.60%,7.00%,8.80%,8.80%,6.30%,5.70%,5.10%,6.30%,6.40%,6.30%,5.00%,5.00%,4.30%,2.90%,1.20%,1.30%,,79.00%,76.20%,71.60%,17.70%,14.70%,100.00%,5.90%,6.10%,5.70%,5.80%,6.70%,7.60%,7.50%,7.00%,5.90%,6.30%,6.90%,6.90%,6.10%,4.80%,3.80%,3.00%,2.30%,1.50%,,80.90%,78.80%,75.30%,18.80%,15.50%,,(X),(X),(X),,100.00%,87.90%,14.40%,40.80%,1.10%,6.40%,0.10%,25.10%,12.10%,,113.50%,22.60%,46.00%,2.20%,7.50%,0.10%,35.00%,,100.00%,38.70%,61.30%,,100.00%,38.70%,4.90%,2.80%,0.50%,0.10%,0.10%,21.70%,8.70%,61.30%,9.60%,38.00%,0.60%,6.30%,0.00%,3.40%,3.40%,,100.00%,99.80%,36.50%,11.30%,0.30%,2.50%,0.20%,33.30%,18.40%,4.30%,3.20%,7.50%,3.90%,0.20%,0.00%,0.00%,0.00%,0.20%,0.10%,0.00%,,100.00%,30.90%,11.70%,7.10%,3.30%,23.30%,14.20%,5.60%,2.20%,38.70%,17.80%,9.20%,9.30%,33.00%,32.80%,,100.00%,91.00%,9.00%,4.30%,0.10%,0.70%,0.40%,0.20%,3.20%,,(X),(X),,100.00%,29.60%,70.40%,True,9.6,38.0,6.3,0.6,3.4,38.7,False
Census Tract 64; Hudson County; New Jersey!!Percent,100.00%,6.60%,2.90%,2.60%,1.80%,3.80%,16.10%,20.50%,15.50%,8.30%,4.30%,5.30%,3.30%,3.40%,2.30%,1.60%,0.60%,0.50%,0.50%,,87.50%,86.80%,85.70%,7.30%,5.50%,100.00%,6.60%,2.40%,2.70%,1.70%,3.60%,16.30%,20.20%,15.70%,8.50%,4.50%,6.70%,3.30%,3.10%,2.20%,1.30%,0.50%,0.40%,0.40%,,87.70%,87.10%,86.10%,6.70%,4.70%,100.00%,6.60%,3.40%,2.50%,2.00%,3.90%,16.00%,20.80%,15.40%,8.00%,4.10%,3.90%,3.30%,3.70%,2.30%,1.90%,0.80%,0.60%,0.60%,,87.30%,86.30%,85.20%,7.90%,6.30%,,(X),(X),(X),,100.00%,88.40%,58.20%,4.90%,0.40%,18.00%,0.00%,6.90%,11.60%,,112.50%,68.60%,6.90%,1.10%,21.40%,0.20%,14.30%,,100.00%,15.70%,84.30%,,100.00%,15.70%,2.80%,0.50%,0.20%,0.10%,0.00%,6.00%,6.10%,84.30%,55.40%,4.40%,0.20%,17.90%,0.00%,1.00%,5.50%,,100.00%,100.00%,49.50%,16.40%,1.10%,5.70%,0.50%,15.90%,12.50%,0.60%,0.40%,2.80%,7.40%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,35.20%,13.40%,12.70%,0.80%,27.10%,18.90%,2.00%,1.00%,25.00%,17.10%,2.20%,1.40%,17.50%,11.50%,,100.00%,88.80%,11.20%,5.30%,1.10%,0.50%,1.40%,1.90%,1.10%,,(X),(X),,100.00%,28.80%,71.20%,False,55.4,4.4,17.9,0.2,1.0,15.7,True
Census Tract 65; Hudson County; New Jersey!!Percent,100.00%,6.60%,6.10%,4.80%,2.40%,4.60%,12.50%,14.90%,13.00%,9.10%,6.60%,4.80%,4.80%,3.50%,2.10%,1.60%,1.10%,0.90%,0.70%,,82.20%,81.20%,79.80%,8.30%,6.40%,100.00%,8.10%,7.20%,3.60%,2.70%,4.80%,12.40%,15.20%,12.30%,10.50%,6.00%,4.80%,4.60%,3.00%,1.30%,1.10%,1.10%,0.70%,0.40%,,80.50%,79.90%,78.00%,5.90%,4.70%,100.00%,5.30%,5.20%,5.80%,2.10%,4.40%,12.60%,14.60%,13.60%,7.90%,7.10%,4.70%,5.00%,3.90%,2.80%,2.10%,1.00%,1.20%,0.90%,,83.60%,82.40%,81.40%,10.40%,7.90%,,(X),(X),(X),,100.00%,88.10%,47.30%,11.20%,0.60%,14.00%,0.10%,14.90%,11.90%,,113.30%,58.20%,13.50%,1.90%,16.90%,0.30%,22.60%,,100.00%,28.90%,71.10%,,100.00%,28.90%,5.00%,1.90%,0.60%,0.00%,0.00%,13.80%,7.60%,71.10%,42.30%,9.30%,0.00%,14.00%,0.00%,1.10%,4.40%,,100.00%,99.70%,46.40%,13.50%,1.00%,4.20%,0.70%,24.30%,17.20%,1.50%,1.10%,4.00%,4.30%,0.30%,0.00%,0.00%,0.00%,0.30%,0.10%,0.10%,,100.00%,30.40%,14.60%,11.80%,1.00%,20.20%,15.60%,1.50%,0.60%,37.60%,21.50%,3.70%,6.70%,25.10%,13.20%,,100.00%,90.20%,9.80%,6.10%,0.60%,1.30%,0.00%,0.40%,1.40%,,(X),(X),,100.00%,31.70%,68.30%,False,42.3,9.3,14.0,0.0,1.1,28.9,False
Census Tract 66; Hudson County; New Jersey!!Percent,100.00%,6.00%,5.90%,4.90%,5.00%,7.40%,10.20%,9.30%,8.10%,5.60%,5.30%,6.20%,4.60%,5.80%,6.20%,4.70%,2.60%,1.10%,0.90%,,81.30%,79.80%,77.20%,19.00%,15.60%,100.00%,5.70%,6.00%,5.40%,4.90%,8.50%,11.60%,8.50%,8.50%,5.90%,5.60%,6.30%,4.90%,5.20%,5.20%,4.00%,2.90%,0.90%,0.30%,,81.10%,79.70%,77.50%,16.30%,13.20%,100.00%,6.30%,5.90%,4.30%,5.20%,6.30%,8.70%,10.30%,7.60%,5.20%,5.10%,6.00%,4.30%,6.50%,7.40%,5.40%,2.40%,1.40%,1.60%,,81.60%,80.00%,76.90%,22.00%,18.20%,,(X),(X),(X),,100.00%,94.60%,16.50%,3.80%,0.40%,68.60%,0.00%,5.30%,5.40%,,106.20%,21.00%,4.90%,0.70%,71.00%,0.20%,8.50%,,100.00%,6.20%,93.80%,,100.00%,6.20%,0.50%,0.40%,0.20%,0.20%,0.00%,2.20%,2.70%,93.80%,16.00%,3.40%,0.20%,68.40%,0.00%,3.20%,2.70%,,100.00%,100.00%,31.80%,13.70%,0.20%,1.20%,0.00%,27.50%,16.10%,3.20%,2.80%,13.90%,8.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,100.00%,43.40%,20.30%,3.10%,1.20%,26.50%,9.50%,3.10%,3.30%,27.00%,10.30%,5.30%,3.60%,33.20%,32.20%,,100.00%,93.70%,6.30%,3.10%,0.00%,0.00%,0.20%,0.00%,2.90%,,(X),(X),,100.00%,44.60%,55.40%,False,16.0,3.4,68.4,0.2,3.2,6.2,False
Census Tract 67; Hudson County; New Jersey!!Percent,100.00%,7.40%,7.00%,9.50%,8.30%,7.50%,6.60%,7.30%,7.50%,6.80%,5.10%,4.90%,5.10%,4.90%,4.10%,3.20%,2.00%,1.60%,1.30%,,74.50%,70.90%,66.30%,14.70%,12.10%,100.00%,9.30%,7.50%,11.70%,10.00%,8.10%,7.00%,7.00%,7.60%,6.20%,4.40%,4.10%,4.40%,4.00%,3.70%,2.20%,1.30%,0.90%,0.50%,,69.50%,65.10%,59.90%,11.00%,8.70%,100.00%,6.00%,6.50%,7.80%,6.90%,7.10%,6.30%,7.60%,7.40%,7.30%,5.60%,5.50%,5.70%,5.60%,4.40%,4.00%,2.40%,2.10%,1.80%,,78.20%,75.30%,71.00%,17.40%,14.70%,,(X),(X),(X),,100.00%,89.60%,15.60%,47.50%,0.70%,3.10%,0.10%,22.60%,10.40%,,111.50%,22.60%,52.60%,1.90%,4.20%,0.20%,29.90%,,100.00%,39.80%,60.20%,,100.00%,39.80%,5.40%,4.00%,0.50%,0.20%,0.10%,22.10%,7.50%,60.20%,10.20%,43.50%,0.20%,2.90%,0.00%,0.50%,2.90%,,100.00%,99.60%,38.90%,7.50%,0.30%,2.20%,0.20%,39.30%,25.60%,3.70%,3.00%,5.90%,1.80%,0.40%,0.00%,0.00%,0.00%,0.40%,0.20%,0.20%,,100.00%,20.60%,11.80%,5.90%,2.30%,17.00%,10.60%,2.70%,2.20%,56.40%,20.80%,10.80%,19.10%,39.50%,24.80%,,100.00%,78.70%,21.30%,12.50%,6.30%,0.00%,0.20%,0.10%,2.20%,,(X),(X),,100.00%,8.00%,92.00%,False,10.2,43.5,2.9,0.2,0.5,39.8,False
Census Tract 68; Hudson County; New Jersey!!Percent,100.00%,6.90%,8.10%,8.60%,7.50%,8.50%,7.80%,8.60%,7.00%,6.40%,5.80%,6.50%,5.60%,5.20%,3.10%,2.10%,1.20%,0.70%,0.50%,,74.90%,71.30%,67.20%,10.80%,7.60%,100.00%,7.10%,8.90%,9.30%,7.50%,9.50%,8.10%,9.20%,6.30%,5.40%,5.00%,6.20%,6.40%,4.20%,3.20%,1.60%,1.20%,0.40%,0.40%,,72.70%,69.40%,65.30%,9.40%,6.80%,100.00%,6.60%,7.40%,7.90%,7.40%,7.80%,7.60%,8.20%,7.50%,7.20%,6.40%,6.80%,5.00%,6.00%,3.10%,2.50%,1.20%,0.90%,0.50%,,76.70%,72.90%,68.80%,12.00%,8.30%,,(X),(X),(X),,100.00%,91.40%,6.40%,65.00%,0.20%,3.30%,0.00%,16.40%,8.60%,,109.10%,11.50%,69.40%,0.80%,4.10%,0.40%,22.80%,,100.00%,26.10%,73.90%,,100.00%,26.10%,2.70%,2.30%,0.20%,0.20%,0.00%,15.10%,5.60%,73.90%,3.70%,62.80%,0.00%,3.10%,0.00%,1.30%,3.00%,,100.00%,99.20%,33.80%,8.10%,0.20%,2.20%,0.30%,39.20%,24.30%,4.00%,3.10%,7.80%,3.50%,0.80%,0.00%,0.00%,0.00%,0.80%,0.70%,0.10%,,100.00%,25.40%,11.50%,7.00%,4.10%,19.00%,10.60%,2.10%,2.90%,48.60%,11.70%,3.50%,19.30%,43.30%,19.80%,,100.00%,90.40%,9.60%,3.80%,1.00%,0.80%,0.50%,0.10%,3.40%,,(X),(X),,100.00%,23.80%,76.20%,True,3.7,62.8,3.1,0.0,1.3,26.1,False
